Sim_num	Dist	MRATE	oriLat	oriLon	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10	Axis11	Axis12	Axis13
7	10.9322	0.00395616	4.86432	15.9307	2.16597	-0.690844	-0.560365	-4.81955	-2.17616	1.05465	-1.16243	-0.521726	-0.677937	-1.24825	-0.384518	0.534068	-0.296009
106	15.8697	0.00426876	2.2697	18.7724	2.94016	-0.800986	-0.442755	-2.53286	-2.02939	1.13433	-0.802521	1.57334	-2.22848	-0.343921	0.604922	0.0746514	-0.164692
120	14.6226	0.00792244	0.666923	12.5662	0.868288	-0.683622	0.369855	-3.79455	-2.17392	2.04363	1.71826	-0.0177787	-0.359871	-0.824752	1.16079	1.34269	0.00875555
191	15.5231	0.00814599	1.14201	15.0929	3.04631	-1.0837	0.316275	-5.49445	-1.67216	2.25375	0.28773	-0.347273	-0.31318	-0.634927	1.41657	1.83701	-0.825314
563	17.1467	0.00804901	3.32643	8.09928	0.578404	-1.68692	0.130214	-5.08823	-3.24301	1.92461	1.03367	1.75007	-0.301697	1.01481	0.845742	0.739394	-1.19765
572	15.6665	0.00559578	2.31378	17.19	4.05503	-1.26311	0.262957	-3.5275	-3.31871	1.40734	-0.351517	2.39948	-2.13221	-0.449802	1.07306	-0.107448	-1.05041
717	17.3569	0.00988725	0.80181	18.1999	0.792777	-0.837894	-2.11578	-4.1929	-3.24111	1.8944	-0.0509108	1.7103	-0.205684	0.172929	-0.812067	0.27839	0.524445
768	8.69686	0.00488193	2.01257	21.3038	0.63588	-1.631	-1.35469	-5.77098	-2.79545	1.57603	-1.32173	0.0202123	-1.35466	-3.3596	1.0749	0.870423	0.0478258
788	14.3536	0.00859429	3.73016	19.1646	2.54282	-0.992978	-2.87581	-3.73853	-2.18202	2.20347	0.30024	1.33716	-0.511589	-1.22717	-0.160633	0.365163	-0.124044
890	17.7793	0.00694086	0.6003	19.5119	1.47478	-1.08275	-1.80819	-4.96324	-0.706591	0.938402	-2.31873	0.0983548	-2.06806	-2.50557	-0.125618	0.504723	0.686181
1120	15.501	0.00715889	1.81281	20.1867	3.21063	-2.61131	-1.17335	-4.312	-2.44472	0.479633	-2.5946	0.785863	-0.719535	-2.94902	-0.614278	-0.379267	0.48217
1351	15.5029	0.00459352	5.36307	15.5534	2.49028	-0.339042	-0.740443	-3.76894	-3.27549	1.24251	-1.76626	1.27742	-1.78279	-0.842253	0.198696	1.59718	-1.13996
1411	15.0705	0.0080351	3.10788	17.0659	1.54912	-1.17289	-1.58357	-4.86197	-2.30615	2.1795	1.28861	1.64685	-0.296871	0.124456	0.0597003	0.545561	-1.41361
